ï»¿BinaTesisatNo;Daire;Dukkan;Isinma;katSayisi;Alan(m²);Kapasite(m³/h)
572;15;1;BÄ°REYSEL;8;1640;35,9
573;5;4;BÄ°REYSEL;9;960;22,5
574;18;2;MERKEZÄ°;10;2140;43
575;3;1;BÄ°REYSEL;2;360;11,8
576;5;2;BÄ°REYSEL;7;680;18,5
577;3;2;MERKEZÄ°;5;520;14
578;3;2;BÄ°REYSEL;5;500;14
579;5;1;BÄ°REYSEL;3;660;16,5
580;2;5;BÄ°REYSEL;7;700;18,5
581;2;1;BÄ°REYSEL;3;320;9,5
582;5;2;BÄ°REYSEL;7;760;18,5
583;2;6;BÄ°REYSEL;4;760;20,5
584;4;1;BÄ°REYSEL;5;460;14
585;5;2;BÄ°REYSEL;7;700;18,5
586;5;2;BÄ°REYSEL;7;720;18,5
587;5;2;MERKEZÄ°;7;760;18,5
588;1;3;MERKEZÄ°;2;420;11,8
589;4;1;BÄ°REYSEL;5;480;14
590;2;1;BÄ°REYSEL;3;280;9,5
591;5;2;MERKEZÄ°;7;660;18,5
592;5;2;BÄ°REYSEL;7;680;18,5
593;4;2;MERKEZÄ°;3;620;16,5
594;2;1;BÄ°REYSEL;3;300;9,5
595;3;0;BÄ°REYSEL;3;300;9,5
596;4;2;BÄ°REYSEL;3;600;16,5
597;3;4;MERKEZÄ°;7;700;18,5
598;2;2;BÄ°REYSEL;2;380;11,8
599;4;2;MERKEZÄ°;3;660;16,5
600;2;4;BÄ°REYSEL;3;640;16,5
601;3;2;BÄ°REYSEL;5;540;14
602;1;1;BÄ°REYSEL;1;220;7
603;3;1;BÄ°REYSEL;2;380;11,8
604;4;2;BÄ°REYSEL;3;540;16,5
605;12;2;BÄ°REYSEL;7;1440;32
606;14;2;MERKEZÄ°;8;1620;35,9
607;15;1;BÄ°REYSEL;8;1460;35,9
608;4;1;BÄ°REYSEL;5;540;14
609;4;2;MERKEZÄ°;3;580;16,5
610;13;2;BÄ°REYSEL;15;1380;33,9
611;1;2;MERKEZÄ°;3;280;9,5
612;5;1;BÄ°REYSEL;3;540;16,5
613;5;1;MERKEZÄ°;3;640;16,5
614;2;1;MERKEZÄ°;3;300;9,5
615;2;1;BÄ°REYSEL;3;280;9,5
616;5;0;BÄ°REYSEL;5;520;14
617;2;1;BÄ°REYSEL;3;320;9,5
618;4;2;BÄ°REYSEL;3;600;16,5
619;2;0;BÄ°REYSEL;1;220;7
620;17;1;BÄ°REYSEL;9;1740;40
621;3;2;BÄ°REYSEL;5;460;14
622;4;1;BÄ°REYSEL;5;500;14
623;4;1;BÄ°REYSEL;5;500;14
624;1;2;BÄ°REYSEL;3;320;9,5
625;4;2;BÄ°REYSEL;3;580;16,5
626;1;2;BÄ°REYSEL;3;280;9,5
627;15;2;BÄ°REYSEL;17;1660;38
628;1;2;MERKEZÄ°;3;280;9,5
629;5;2;BÄ°REYSEL;7;700;18,5
630;1;2;BÄ°REYSEL;3;280;9,5
631;3;1;BÄ°REYSEL;2;380;11,8
632;2;1;BÄ°REYSEL;3;320;9,5
633;1;1;BÄ°REYSEL;1;220;7
634;3;1;BÄ°REYSEL;2;420;11,8
635;4;0;BÄ°REYSEL;2;380;11,8
636;5;3;BÄ°REYSEL;4;760;20,5
637;5;1;BÄ°REYSEL;3;600;16,5
638;4;1;BÄ°REYSEL;5;480;14
639;3;2;MERKEZÄ°;5;460;14
640;19;1;BÄ°REYSEL;10;2140;43
641;2;1;BÄ°REYSEL;3;280;9,5
642;2;2;BÄ°REYSEL;2;420;11,8
643;3;2;MERKEZÄ°;5;460;14
644;4;2;BÄ°REYSEL;3;600;16,5
645;3;1;BÄ°REYSEL;2;420;11,8
646;5;2;BÄ°REYSEL;7;680;18,5
647;5;1;BÄ°REYSEL;3;620;16,5
648;15;5;BÄ°REYSEL;10;1940;43
649;5;2;BÄ°REYSEL;7;660;18,5
650;2;1;BÄ°REYSEL;3;280;9,5
651;3;2;BÄ°REYSEL;5;540;14
652;1;2;BÄ°REYSEL;3;320;9,5
653;2;2;BÄ°REYSEL;2;380;11,8
654;3;1;BÄ°REYSEL;2;400;11,8
655;3;1;BÄ°REYSEL;2;380;11,8
656;1;2;BÄ°REYSEL;3;300;9,5
657;14;2;MERKEZÄ°;8;1600;35,9
658;1;2;BÄ°REYSEL;3;300;9,5
659;1;4;BÄ°REYSEL;5;480;14
660;5;1;BÄ°REYSEL;3;620;16,5
661;1;2;BÄ°REYSEL;3;280;9,5
662;1;5;BÄ°REYSEL;3;620;16,5
663;3;2;BÄ°REYSEL;5;480;14
664;3;4;BÄ°REYSEL;7;660;18,5
665;1;1;MERKEZÄ°;1;180;7
666;5;5;BÄ°REYSEL;5;960;24,5
667;5;1;MERKEZÄ°;3;600;16,5
668;4;2;BÄ°REYSEL;3;600;16,5
669;3;2;BÄ°REYSEL;5;480;14
670;1;1;BÄ°REYSEL;1;220;7
671;3;1;BÄ°REYSEL;2;380;11,8
672;5;2;BÄ°REYSEL;7;720;18,5
673;3;2;MERKEZÄ°;5;520;14
674;5;2;BÄ°REYSEL;7;720;18,5
675;16;2;BÄ°REYSEL;9;1640;40
676;5;1;BÄ°REYSEL;3;560;16,5
677;5;2;BÄ°REYSEL;7;660;18,5
678;5;1;BÄ°REYSEL;3;540;16,5
679;5;2;BÄ°REYSEL;7;640;18,5
680;20;2;BÄ°REYSEL;11;2080;47
681;3;2;BÄ°REYSEL;5;480;14
682;15;1;MERKEZÄ°;8;1560;35,9
683;2;1;BÄ°REYSEL;3;280;9,5
684;3;1;MERKEZÄ°;2;420;11,8
685;1;2;BÄ°REYSEL;3;280;9,5
686;4;1;MERKEZÄ°;5;460;14
687;2;1;BÄ°REYSEL;3;280;9,5
688;5;1;BÄ°REYSEL;3;600;16,5
689;5;2;MERKEZÄ°;7;740;18,5
690;2;1;BÄ°REYSEL;3;280;9,5
691;19;2;BÄ°REYSEL;10;2040;45
692;15;2;BÄ°REYSEL;17;1600;38
693;2;1;BÄ°REYSEL;3;300;9,5
694;1;2;MERKEZÄ°;3;320;9,5
695;1;2;BÄ°REYSEL;3;320;9,5
696;4;2;BÄ°REYSEL;3;560;16,5
697;6;2;BÄ°REYSEL;4;780;20,5
698;4;4;MERKEZÄ°;4;780;20,5
699;1;1;BÄ°REYSEL;1;200;7
700;4;2;BÄ°REYSEL;3;560;16,5
701;19;1;BÄ°REYSEL;10;1820;43
702;5;1;BÄ°REYSEL;3;640;16,5
703;6;4;BÄ°REYSEL;5;980;24,5
704;3;2;BÄ°REYSEL;5;500;14
705;1;2;BÄ°REYSEL;3;280;9,5
706;7;2;BÄ°REYSEL;9;920;22,5
707;2;1;BÄ°REYSEL;3;300;9,5
708;5;1;BÄ°REYSEL;3;660;16,5
709;1;1;BÄ°REYSEL;1;200;7
710;13;1;BÄ°REYSEL;7;1420;32
711;16;1;BÄ°REYSEL;17;1700;38
712;3;2;MERKEZÄ°;5;500;14
713;3;2;MERKEZÄ°;5;500;14
714;2;2;BÄ°REYSEL;2;360;11,8
715;13;1;BÄ°REYSEL;7;1360;32
716;4;2;BÄ°REYSEL;3;580;16,5
717;2;2;BÄ°REYSEL;2;380;11,8
718;5;2;BÄ°REYSEL;7;700;18,5
719;3;1;MERKEZÄ°;2;420;11,8
720;15;2;BÄ°REYSEL;17;1840;38
721;4;1;BÄ°REYSEL;5;500;14
722;5;1;MERKEZÄ°;3;540;16,5
723;5;2;MERKEZÄ°;7;740;18,5
724;3;2;BÄ°REYSEL;5;520;14
725;0;1;BÄ°REYSEL;1;100;3,5
726;4;1;BÄ°REYSEL;5;460;14
727;1;2;BÄ°REYSEL;3;280;9,5
728;4;0;BÄ°REYSEL;2;420;11,8
729;8;5;BÄ°REYSEL;13;1240;30,2
730;2;1;MERKEZÄ°;3;280;9,5
731;5;1;BÄ°REYSEL;3;560;16,5
732;2;2;BÄ°REYSEL;2;420;11,8
733;2;2;BÄ°REYSEL;2;440;11,8
734;2;1;BÄ°REYSEL;3;320;9,5
735;2;1;BÄ°REYSEL;3;320;9,5
736;5;1;MERKEZÄ°;3;600;16,5
737;3;1;BÄ°REYSEL;2;440;11,8
738;3;3;BÄ°REYSEL;3;580;16,5
739;2;2;BÄ°REYSEL;2;380;11,8
740;5;3;BÄ°REYSEL;4;780;20,5
741;5;2;BÄ°REYSEL;7;660;18,5
742;16;1;BÄ°REYSEL;17;1600;38
743;5;1;MERKEZÄ°;3;560;16,5
744;4;1;BÄ°REYSEL;5;540;14
745;5;1;MERKEZÄ°;3;620;16,5
746;1;1;BÄ°REYSEL;1;220;7
747;1;1;BÄ°REYSEL;1;180;7
748;3;1;BÄ°REYSEL;2;440;11,8
749;11;0;BÄ°REYSEL;11;1040;26,5
750;5;2;MERKEZÄ°;7;680;18,5
751;3;2;BÄ°REYSEL;5;540;14
752;3;1;MERKEZÄ°;2;420;11,8
753;11;2;BÄ°REYSEL;13;1340;30,2
754;5;1;BÄ°REYSEL;3;600;16,5
755;4;1;MERKEZÄ°;5;540;14
756;2;2;BÄ°REYSEL;2;420;11,8
757;5;2;BÄ°REYSEL;7;640;18,5
758;2;2;BÄ°REYSEL;2;400;11,8
759;3;2;BÄ°REYSEL;5;480;14
760;3;2;BÄ°REYSEL;5;520;14
761;4;2;BÄ°REYSEL;3;560;16,5
762;4;2;BÄ°REYSEL;3;640;16,5
763;2;2;BÄ°REYSEL;2;400;11,8
764;2;2;MERKEZÄ°;2;440;11,8
765;5;1;BÄ°REYSEL;3;660;16,5
766;4;2;BÄ°REYSEL;3;640;16,5
767;5;1;BÄ°REYSEL;3;560;16,5
768;1;2;BÄ°REYSEL;3;300;9,5
769;2;2;BÄ°REYSEL;2;420;11,8
770;4;2;BÄ°REYSEL;3;560;16,5
771;3;3;MERKEZÄ°;3;620;16,5
772;3;2;MERKEZÄ°;5;480;14
773;2;1;BÄ°REYSEL;3;320;9,5
774;4;1;BÄ°REYSEL;5;520;14
775;5;1;MERKEZÄ°;3;620;16,5
776;5;2;BÄ°REYSEL;7;720;18,5
777;2;2;MERKEZÄ°;2;400;11,8
778;1;1;BÄ°REYSEL;1;180;7
779;1;4;BÄ°REYSEL;5;520;14
780;5;2;BÄ°REYSEL;7;740;18,5
781;3;2;BÄ°REYSEL;5;540;14
782;4;1;BÄ°REYSEL;5;540;14
783;3;2;BÄ°REYSEL;5;500;14
784;5;2;BÄ°REYSEL;7;640;18,5
785;2;1;BÄ°REYSEL;3;320;9,5
786;5;1;BÄ°REYSEL;3;640;16,5
787;5;1;BÄ°REYSEL;3;620;16,5
788;4;1;BÄ°REYSEL;5;500;14
789;5;1;BÄ°REYSEL;3;540;16,5
790;5;1;BÄ°REYSEL;3;600;16,5
791;4;0;BÄ°REYSEL;2;360;11,8
792;5;1;BÄ°REYSEL;3;660;16,5
793;3;1;BÄ°REYSEL;2;360;11,8
794;4;2;BÄ°REYSEL;3;560;16,5
795;3;1;BÄ°REYSEL;2;380;11,8
796;4;2;BÄ°REYSEL;3;640;16,5
797;8;2;BÄ°REYSEL;5;1100;24,5
798;5;1;BÄ°REYSEL;3;600;16,5
799;4;1;BÄ°REYSEL;5;500;14
800;2;2;MERKEZÄ°;2;400;11,8
801;4;4;BÄ°REYSEL;4;840;20,5
802;4;2;BÄ°REYSEL;3;640;16,5
803;4;2;BÄ°REYSEL;3;640;16,5
804;3;3;BÄ°REYSEL;3;540;16,5
805;9;2;BÄ°REYSEL;11;1100;26,5
806;2;2;BÄ°REYSEL;2;400;11,8
807;4;4;MERKEZÄ°;4;740;20,5
808;2;2;BÄ°REYSEL;2;360;11,8
809;17;2;BÄ°REYSEL;19;1800;42
810;2;6;BÄ°REYSEL;4;780;20,5
811;3;5;MERKEZÄ°;4;860;20,5
812;5;2;BÄ°REYSEL;7;660;18,5
813;1;1;MERKEZÄ°;1;200;7
814;3;2;MERKEZÄ°;5;520;14
815;3;1;BÄ°REYSEL;2;420;11,8
816;3;2;BÄ°REYSEL;5;480;14
817;3;1;BÄ°REYSEL;2;420;11,8
818;10;2;BÄ°REYSEL;6;1260;28,5
819;3;2;MERKEZÄ°;5;540;14
820;5;2;BÄ°REYSEL;7;720;18,5
821;3;2;MERKEZÄ°;5;460;14
822;4;2;MERKEZÄ°;3;600;16,5
823;2;5;BÄ°REYSEL;7;700;18,5
824;4;2;BÄ°REYSEL;3;640;16,5
825;5;2;BÄ°REYSEL;7;680;18,5
826;5;2;BÄ°REYSEL;7;760;18,5
827;1;2;BÄ°REYSEL;3;300;9,5
828;5;1;BÄ°REYSEL;3;620;16,5
829;5;2;BÄ°REYSEL;7;700;18,5
830;1;4;BÄ°REYSEL;5;460;14
831;15;1;BÄ°REYSEL;8;1520;35,9
832;3;1;BÄ°REYSEL;2;360;11,8
833;3;1;BÄ°REYSEL;2;420;11,8
834;6;1;MERKEZÄ°;7;660;18,5
835;2;1;BÄ°REYSEL;3;300;9,5
836;3;1;BÄ°REYSEL;2;420;11,8
837;3;2;BÄ°REYSEL;5;540;14
838;1;1;BÄ°REYSEL;1;200;7
839;11;1;BÄ°REYSEL;6;1180;28,5
840;3;2;BÄ°REYSEL;5;460;14
841;1;1;MERKEZÄ°;1;200;7
842;3;5;BÄ°REYSEL;4;820;20,5
843;3;1;BÄ°REYSEL;2;400;11,8
844;3;1;BÄ°REYSEL;2;360;11,8
845;2;1;BÄ°REYSEL;3;320;9,5
846;5;2;BÄ°REYSEL;7;680;18,5
847;4;2;BÄ°REYSEL;3;540;16,5
848;3;1;BÄ°REYSEL;2;440;11,8
849;17;1;BÄ°REYSEL;9;1700;40
850;15;2;BÄ°REYSEL;17;1740;38
851;2;2;BÄ°REYSEL;2;400;11,8
852;5;1;BÄ°REYSEL;3;560;16,5
853;1;2;BÄ°REYSEL;3;320;9,5
854;3;6;BÄ°REYSEL;9;840;22,5
855;1;1;BÄ°REYSEL;1;180;7
856;3;1;BÄ°REYSEL;2;380;11,8
857;1;1;BÄ°REYSEL;1;200;7
858;4;1;BÄ°REYSEL;5;460;14
859;0;2;BÄ°REYSEL;1;200;7
860;2;5;BÄ°REYSEL;7;740;18,5
861;5;1;BÄ°REYSEL;3;580;16,5
862;2;2;BÄ°REYSEL;2;400;11,8
863;4;2;BÄ°REYSEL;3;580;16,5
864;4;2;BÄ°REYSEL;3;600;16,5
865;17;1;BÄ°REYSEL;9;1680;40
866;1;1;BÄ°REYSEL;1;200;7
867;3;5;BÄ°REYSEL;4;780;20,5
868;1;5;BÄ°REYSEL;3;580;16,5
869;4;1;MERKEZÄ°;5;540;14
870;0;1;BÄ°REYSEL;1;100;3,5
871;4;1;BÄ°REYSEL;5;500;14
872;12;2;MERKEZÄ°;7;1360;32
873;1;1;BÄ°REYSEL;1;220;7
874;15;4;BÄ°REYSEL;19;2080;42
875;5;2;BÄ°REYSEL;7;680;18,5
876;1;2;MERKEZÄ°;3;280;9,5
877;4;1;BÄ°REYSEL;5;540;14
878;3;1;BÄ°REYSEL;2;380;11,8
879;3;2;BÄ°REYSEL;5;480;14
880;5;2;BÄ°REYSEL;7;720;18,5
881;1;2;BÄ°REYSEL;3;280;9,5
882;5;2;BÄ°REYSEL;7;680;18,5
883;19;2;BÄ°REYSEL;10;1960;45
884;3;5;MERKEZÄ°;4;860;20,5
885;3;3;BÄ°REYSEL;3;640;16,5
886;1;2;BÄ°REYSEL;3;300;9,5
887;4;3;MERKEZÄ°;7;760;18,5
888;6;1;MERKEZÄ°;7;640;18,5
889;4;1;BÄ°REYSEL;5;520;14
890;15;2;BÄ°REYSEL;17;1780;38
891;15;2;BÄ°REYSEL;17;1680;38
892;5;2;BÄ°REYSEL;7;760;18,5
893;9;0;MERKEZÄ°;9;820;22,5
894;4;1;MERKEZÄ°;5;460;14
895;3;1;BÄ°REYSEL;2;380;11,8
896;1;1;BÄ°REYSEL;1;180;7
897;5;1;BÄ°REYSEL;3;640;16,5
898;18;2;BÄ°REYSEL;10;2080;43
899;1;2;MERKEZÄ°;3;320;9,5
900;3;1;BÄ°REYSEL;2;400;11,8
901;1;2;BÄ°REYSEL;3;280;9,5
902;4;2;BÄ°REYSEL;3;600;16,5
903;5;2;BÄ°REYSEL;7;700;18,5
904;3;1;BÄ°REYSEL;2;360;11,8
905;4;2;MERKEZÄ°;3;660;16,5
906;4;2;BÄ°REYSEL;3;620;16,5
907;4;4;MERKEZÄ°;4;860;20,5
908;5;1;BÄ°REYSEL;3;560;16,5
909;3;1;BÄ°REYSEL;2;380;11,8
910;5;6;BÄ°REYSEL;11;1140;26,5
911;5;2;BÄ°REYSEL;7;640;18,5
912;1;1;BÄ°REYSEL;1;220;7
913;2;2;BÄ°REYSEL;2;380;11,8
914;3;1;BÄ°REYSEL;2;440;11,8
915;13;1;BÄ°REYSEL;7;1380;32
916;7;1;BÄ°REYSEL;4;800;20,5
917;18;0;BÄ°REYSEL;9;1880;40
918;3;1;MERKEZÄ°;2;400;11,8
919;1;1;BÄ°REYSEL;1;180;7
920;1;1;BÄ°REYSEL;1;180;7
921;1;2;BÄ°REYSEL;3;320;9,5
922;5;1;BÄ°REYSEL;3;640;16,5
923;5;2;BÄ°REYSEL;7;640;18,5
924;3;1;BÄ°REYSEL;2;400;11,8
925;3;2;BÄ°REYSEL;5;480;14
926;5;2;BÄ°REYSEL;7;660;18,5
927;9;1;BÄ°REYSEL;5;1020;24,5
928;4;2;MERKEZÄ°;3;640;16,5
929;5;3;BÄ°REYSEL;4;880;20,5
930;1;2;BÄ°REYSEL;3;320;9,5
931;2;1;BÄ°REYSEL;3;320;9,5
932;3;1;BÄ°REYSEL;2;380;11,8
933;3;3;MERKEZÄ°;3;600;16,5
934;5;1;BÄ°REYSEL;3;600;16,5
935;4;2;BÄ°REYSEL;3;600;16,5
936;1;2;BÄ°REYSEL;3;280;9,5
937;4;4;MERKEZÄ°;4;760;20,5
938;4;2;BÄ°REYSEL;3;640;16,5
939;3;1;BÄ°REYSEL;2;380;11,8
940;1;1;BÄ°REYSEL;1;200;7
941;2;2;BÄ°REYSEL;2;360;11,8
942;5;1;BÄ°REYSEL;3;560;16,5
943;3;1;BÄ°REYSEL;2;440;11,8
944;1;2;BÄ°REYSEL;3;300;9,5
945;3;1;BÄ°REYSEL;2;360;11,8
946;2;2;MERKEZÄ°;2;400;11,8
947;1;1;BÄ°REYSEL;1;200;7
948;4;2;BÄ°REYSEL;3;600;16,5
949;4;1;BÄ°REYSEL;5;500;14
950;2;1;BÄ°REYSEL;3;280;9,5
951;2;1;BÄ°REYSEL;3;320;9,5
952;3;1;MERKEZÄ°;2;400;11,8
953;4;1;BÄ°REYSEL;5;540;14
954;2;2;BÄ°REYSEL;2;400;11,8
955;5;0;BÄ°REYSEL;5;480;14
956;4;1;BÄ°REYSEL;5;520;14
957;16;1;MERKEZÄ°;17;1580;38
958;2;1;BÄ°REYSEL;3;300;9,5
959;0;1;BÄ°REYSEL;1;100;3,5
960;3;6;MERKEZÄ°;9;960;22,5
961;1;1;BÄ°REYSEL;1;220;7
962;3;4;BÄ°REYSEL;7;720;18,5
963;3;1;BÄ°REYSEL;2;360;11,8
964;5;2;MERKEZÄ°;7;640;18,5
965;4;1;BÄ°REYSEL;5;460;14
966;12;2;BÄ°REYSEL;7;1400;32
967;1;2;BÄ°REYSEL;3;280;9,5
968;14;2;BÄ°REYSEL;8;1540;35,9
969;3;2;BÄ°REYSEL;5;520;14
970;20;1;BÄ°REYSEL;10;2120;45
971;2;2;BÄ°REYSEL;2;400;11,8
972;1;1;BÄ°REYSEL;1;200;7
973;4;1;BÄ°REYSEL;5;460;14
974;5;2;BÄ°REYSEL;7;640;18,5
975;2;1;MERKEZÄ°;3;300;9,5
976;1;1;BÄ°REYSEL;1;200;7
977;4;2;BÄ°REYSEL;3;560;16,5
978;19;2;BÄ°REYSEL;10;2140;45
979;2;1;BÄ°REYSEL;3;320;9,5
980;3;2;BÄ°REYSEL;5;520;14
981;4;2;BÄ°REYSEL;3;540;16,5
982;2;1;BÄ°REYSEL;3;320;9,5
983;2;1;BÄ°REYSEL;3;320;9,5
984;2;2;BÄ°REYSEL;2;400;11,8
985;2;2;BÄ°REYSEL;2;420;11,8
986;1;1;BÄ°REYSEL;1;220;7
987;3;2;BÄ°REYSEL;5;540;14
988;5;1;BÄ°REYSEL;3;580;16,5
989;20;1;MERKEZÄ°;10;1900;45
990;16;1;BÄ°REYSEL;17;1820;38
991;1;1;BÄ°REYSEL;1;220;7
992;4;2;BÄ°REYSEL;3;540;16,5
993;2;2;MERKEZÄ°;2;400;11,8
994;19;1;BÄ°REYSEL;10;1980;43
995;5;1;BÄ°REYSEL;3;600;16,5
996;5;1;BÄ°REYSEL;3;640;16,5
997;3;2;BÄ°REYSEL;5;520;14
998;9;6;BÄ°REYSEL;15;1640;33,9
999;12;0;MERKEZÄ°;6;1140;28,5
1000;1;2;BÄ°REYSEL;3;320;9,5
